"STATUS_0", "Ungültig / Unvollständig"
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Transaction feedback</em>.", "Muss identisch mit dem Wert im Ingenico ePayments-Backend unter <em>Technische Informationen</em> auf dem Tab <em>Transaktions-Feedback</em> sein."
"Special user for API must be created in the Ingenico ePayments backend in section <em>Users</em>.", "Spezieller Benutzer für API muss im Ingenico ePayments-Backend unter <em>Benutzerverwaltung</em> erstellt werden."
"Password which has been set in the Ingenico ePayments backend for above API user.", "Passwort, dass im Ingenico ePayments-Backend für den o.g. API-Benutzer vergeben wurde."
"This setting will override the configuration in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global transaction parameters</em>.", "Diese Option überschreibt die Einstellung im Ingenico ePayments-Backend unter <em>Technische Informationen</em> auf dem Tab <em>Globale Transaktionsparameter</em>."
"Only enable this if you wish to use Fraud Detection.", "Nur aktivieren, wenn Betrugserkennung genutzt wird."
"This will log requests and responses in /var/log/ops.log", "Anfragen und Antworten werden in /var/log/ops.log protokolliert."
"Make sure the global Magento logging is also enabled.", "Stellen Sie sicher, dass das globale Logging in Magento ebenfalls aktiviert ist."
If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments payment page.", "Wenn <em>Ja</em> gewählt ist, werden Kunden zur externen Ingenico ePayments-Bezahlseite weitergeleitet."
"For the selected card types, the customer can enter the credit card details directly in the checkout.", "Für die hier gewählten Kartentypen kann der Kunde seine Kreditkarten-Daten direkt im Checkout eingeben."
"If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password.", "Wenn die Kreditkarte des Kunden 3D Secure unterstützt, wird er zu einer externen Seite weitergeleitet, um sein Passwort einzugeben."
"This sets if this payment method should also be available for orders from the Magento backend.", "Legt fest, ob diese Zahlart auch für Bestellungen im Magento-Backend verfügbar sein soll."
"Make sure that <em>gender</em> and <em>date of birth</em> are required fields in the checkout. Otherwise this payment method will not be displayed.", "Stellen Sie sicher, dass <em>Geschlecht</em> und <em>Geburtstag</em> im Checkout Pflichtfelder sind. Ansonsten wird diese Zahlart nicht angezeigt."
"By choosing this payment method the choice of the concrete payment method will be on Ingenico ePayments side.", "Die konkrete Auswahl der Zahlart erfolgt nach der Bestellung auf Ingenico ePayments Seite."
"Additional Ingenico ePayments payment methods", "Zusätzliche Ingenico ePayments Zahlarten"
"A generic payment method, that lets the customer choose the exact method on Ingenico ePayments side.", "Generische Zahlart, die den Kunden die konkrete Zahlart auf Ingenico ePayments Seite auswählen lässt."
"Depending on the selection the extension will communicate with the Ingenico ePayments test or production service. Choose custom, if you have to use special urls for the gateway.", "Abhängig von Ihrer Auswahl wird das Modul die Test- oder Produktiv-Schnittstelle von Ingenico ePayments ansteuern. Wählen Sie 'Angepasst', wenn Sie spezielle Gateway-Urls nutzen."
"prod", "Produktiv"
"test", "Test"
"custom", "Angepasst"
"Mode", "Umgebung"
"<p id='ops_mode_comment' style='color:red; display:none;'>Please note that, after changing this value, you might also need to update additional fields like API-User and password, PSPID or SHA-IN/OUT pass phrase.</p>", "<p id='ops_mode_comment' style='color:red; display:none;'>Bitte beachten Sie, dass Sie nach dem Ändern dieses Wertes gegebenenfalls auch andere Werte wie API Benutzer und Passwort, PSPID und SHA-IN/OUT Signatur anpassen müssen.</p>"
"Resend payment information", "Zahlungsinformationen erneut senden"
"Ingenico ePayments resend payment information", "Ingenico ePayments Zahlungsinformationen erneut senden"
"Payment information has been resend to customer.", "Zahlungsinformationen wurden an den Kunden gesendet."
"Payment information could not be sent.", "Die Zahlungsinformationen konnten nicht versendet werden."
"Resend payment information identity", "Absender für den Zahlungsinformationen-Neuversand"
"Sender identity. See 'Store Email Adresses'.", "Identität des Senders. Siehe auch 'Store E-Mail-Adressen'"
"Resend payment information template", "Mail-Template für den Zahlungsinformationen-Neuversand"
"The email template to use. Choose 'Default Template from Locale' to use Ingenico ePayments extensions default template.", "Das E-Mail-Template, das verwendet wird. Wählen Sie 'Standardvorlage von  Gebietsschema', um die Ingenico ePayments Modul Standardvorlage zu verwenden."
"This payment method always uses direct sale as payment action.", "Für diese Zahlart wird immer Direktbelastung als Zahlungsaktion verwendet."
"Allow payment method for discounted carts. Please note that not all aquirers support transmission of discount items.", "Erlaube Zahlart auch bei reduziertem Warenkorb. Bitte beachten Sie, dass nicht alle Zahlungsdienstleister reduzierte Artikel unterstützen."
"Maximum length for this field is 35 characters.", "Die Maximallänge für dieses Feld ist 35 Zeichen."
"Enable state restriction", "Aktiviere Status-Einschränkungen"
"If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments status will get reverted. This can cause conflicts if you use custom order statuses.", "Wenn aktiviert, werden Änderungen des Bestell-Status zurückgesetzt, wenn der Status nicht mit dem für den Ingenico ePayments Status erwarteten Wert übereinstimmt. Dies kann zu Konflikten führen, wenn Sie angepasste Bestellstati verwenden."
"FAILURE_TOKEN_FRONTEND", "Die Zahlungsdaten konnten durch Ingenico ePayments nicht gespeichert werden. Bitte <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>versuchen Sie es erneut</a> oder verwenden Sie eine andere Zahlart."
"SUCCESS_TOKEN_FRONTEND", "Ihre Zahlungsdaten sind bereit zur Verarbeitung durch Ingenico ePayments. Sie können die Daten noch <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>zurücksetzen</a> oder andere Zahlarten auswählen."
"SUCCESS_TOKEN", "Ihre Zahlungsdaten sind bereit zur Verarbeitung durch Ingenico ePayments. Sie können die Daten noch <a href='javascript:void(0)' onclick='payment.reloadIframe();'>zurücksetzen</a> oder andere Zahlarten auswählen."
"FAILURE_TOKEN", "Die Zahlungsdaten konnten durch Ingenico ePayments nicht gespeichert werden. Bitte <a href='javascript:void(0)' onclick='payment.reloadIframe();'>versuchen Sie es erneut</a> oder verwenden Sie eine andere Zahlart."
"LOAD_TOKEN", "Bitte warten Sie, während das Ingenico ePayments Zahlungsformular geladen wird."
"If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments side.", "Ist diese Option aktiviert, werden die Aliasdaten des Käufers im Shop gespeichert. Die Daten können dann später wiederverwendet werden, sofern der Käufer die Daten auf Ingenico ePayments Seite speichern lies."
"Ingenico ePayments - Redirect mode", "Ingenico ePayments - Weiterleitungs-Modus"
"Magento - internal shop template", "Magento - Internes Template"
"Ingenico ePayments - iFrame mode", "Ingenico ePayments - iFrame-Modus"
"Ingenico ePayments - Dynamic template", "Ingenico ePayments - Dynamisches Template"
"Enter the TemplateRootId you received from Ingenico ePayments or the url to an external template.", "Geben Sie hier die von Ingenico ePayments erhaltene TemplateRootId oder die Url zu einem Template ein."
"For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments servers. This does NOT affect the Hosted Tokenization iFrame (HTP).", "Für einfachere PCI Compliance empfehlen wir den Weiterleitungs-Modus, den iFrame-Modus oder das dynamische Template, wenn es auf den Servern von Ingenico ePayments gehosted wird. Diese Einstellung bezieht sich NICHT auf das Hosted Tokenization iFrame (HTP)."
"With this setting the customer will enter the payment details on a page in your shop that hosts the Ingenico ePayments paypage in an iFrame. You can style the paypage through the parameters below.", "Mit dieser Einstellung verbleibt der Kunde in Ihrem Shop und die Zahlungsseite von Ingenico ePayments wird über ein iFrame geladen. Sie können die Zahlungsseite über die folgenden Parameter gestalten."
"With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>", "Mit dieser Einstellung wird der Kunde zur Zahlung zu Ingenico ePayments weitergeleitet. Das Aussehen der Zahlungsseite entspricht dabei Ihrem Shop. </br> Das entsprechende Template kann hier angesehen werden: </br>"
"With this setting the customer will be redirected to the Ingenico ePayments paypage. The look and feel of that page will be defined by a dynamically loaded template file that you can define below.", "Mit dieser Einstellung wird der Käufer zur Ingenico ePayments Bezahlseite weitergeleitet. Das Aussehen der Seite kann durch eine dynamisch geladene Vorlagendatei bestimmt werden, welche unten angegeben werden kann."
"With this setting the customer will get redirected to Ingenico ePayments to enter his payment details. You can style the page through the parameters below.", "Mit dieser Einstellung wird der Kunde zur Eingabe seiner Zahlungsdaten an Ingenico ePayments weitergeleitet. Die Zahlungsseite können Sie durch die folgenden Parameter stylen."
"Ingenico ePayments Subscription Manager via Cc", "Ingenico ePayments Abonnement-Verwaltung über Cc"
"<p id='ops_recurring_cc_active_comment' style='color:red; display:none;'>To use this functionality you have to have the Subscription manager function enabled in the Ingenico ePayments backend.</p>", "<p id='ops_recurring_cc_active_comment' style='color:red; display:none;'>Um dieses Feature nutzen zu können, müssen Sie die Option zur Abonnement-Verwaltung in Ihrem Ingenico ePayments Account aktiviert haben.</p>"
"This payment method is used to handle subscriptions via Ingenico ePayments through Magentos recurring profiles. It is only available for orders containing only nominal items.", "Diese Zahlart wird zum Verwalten von Abonnements über Magentos Wiederkehrende Profile verwendet. Sie ist nur für Bestellungen verfügbar, die entsprechende Produkte enthalten."
"A subscription will be created. This will charge you %s every %s %s.", "Ein Abonnement wird erstellt. Dadurch wird Ihnen ein Betrag von %s jede(n) %s. %s berechnet."
" The subscription will end on %s.", " Das Abonnement wird am %s enden."
"A trial subscription will be created. This will charge you %s every %s %s until %s.", "Ein Probe-Abonnement wird erstellt. Dadurch wird Ihnen ein Betrag von %s jede(n) %s. %s berechnet. Das Test-Abonnement läuft bis zum %s."
"To cancel the subscription, please send an email to the shop owner or request this by clicking the suspend button on the subscriptions detail view in your customer account. A link to that page will be displayed on the checkout success page.", "Um das Abonnement zu beenden, können Sie dem Shop-Inhaber eine E-Mail senden oder dies beantragen, indem Sie in der Detail-Ansicht des Abonnements in Ihrem Kunden-Account auf den Button 'Aufheben' klicken. Die Bestellbestätigungs-Seite enthält zudem einen Link auf die besagte Seite."
"You will be charged an initial amount of %s.", "Ihnen wird ein initialer Betrag von %s berechnet."
"Are you sure you want to perform this action? Canceling the subscription here will not actually cancel the subscription on Ingenico ePayments side. To stop charging the customer you will have to deactivate the subscription there.", "Sind Sie sicher, dass Sie diese Aktion ausführen wollen? Hierdurch wird nur der Status in Magento gesetzt. Um dem Kunden keine weiteren Beträge zu berechnen, muss das Abonnement auf Ingenico ePayments-Seite beendet werden."
"Are you sure you want to perform this action? Suspending the subscription here will not actually cancel the subscription on Ingenico ePayments side. To stop charging the customer you will have to deactivate the subscription there.", "Sind Sie sicher, dass Sie diese Aktion ausführen wollen? Hierdurch wird nur der Status in Magento gesetzt. Um dem Kunden keine weiteren Beträge zu berechnen, muss das Abonnement auf Ingenico ePayments-Seite ausgesetzt werden."
"Billing day for weekly subscriptions", "Abrechnungstag für wöchentliche Abonnements"
"Determines the day of the week when a weekly subscription gets triggered.", "Legt den Wochentag fest, an dem die Abrechnung von wöchentlichen Abonnements ausgeführt wird."
"Billing day for monthly subscriptions", "Abrechnungstag für monatliche Abonnements"
"Determines the day of the month when a monthly subscription gets triggered.", "Legt den Tag des Monats fest, an dem die Abrechnung von monatlichen Abonnements ausgeführt wird."
"Store contact responsible for subscription handling", "Für Abonnement-Verwaltung verantwortlicher Kontakt"
"This contact will receive the suspend/cancel requests for the subscriptions. See 'Store Email Adresses'.", "Dieser Kontakt wird die Aussetzungs-/Stornierungs-E-Mails für Abonnements von Kunden erhalten. Siehe auch 'Store E-Mail Adressen'."
"E-Mail template for suspending/canceling a subscription", "E-Mail-Template für Aussetzung/Stornierung eines Abonnements"
"This e-mail template is used for the automatically generated e-mail that is sent to the corresponding contact, if a customer wants to cancel a subscription.", "Diese E-Mail-Vorlage wird für die automatisch generierte E-Mail verwendet, die an die Kontaktadresse gesendet wird, wenn der Käufer ein Abo abbestellen will."
"Ingenico ePayments suspend subscription request", "Ingenico ePayments Abonnement Stornierungsanfrage"
"You are not allowed to suspend this subscription!", "Es ist Ihnen nicht erlaubt dieses Abonnement auszusetzen!"
"Your suspend request was successfully sent. A copy of the email will be sent to your address.", "Ihre Anfrage zur Stilllegung des Abonnements wurde versendet. Sie erhalten eine Kopie der E-Mail an Ihre E-Mail-Adresse"
"Could not send suspend mail, please try again or contact our support directly.", "Stilllegungsanfrage konnte nicht versendet werden, bitte kontaktieren Sie unseren Support direkt."
"Automatic activation not possible. Please contact our support team.", "Automatische Aktivierung nicht möglich. Bitte kontaktieren Sie unser Support-Team"
"To actually suspend the subscription an update in the Ingenico ePayments backend is needed.", "Um das Abonnement tatsächlich zu deaktivieren, ist ein Update im Ingenico ePayments Administrationsbereich notwendig."
"To actually cancel the subscription an update in the Ingenico ePayments backend is needed.", "Um das Abonnement tatsächlich zu stornieren, ist ein Update im Ingenico ePayments Administrationsbereich notwendig."
"To actually activate the subscription an update in the Ingenico ePayments backend is needed.", "Um das Abonnement tatsächlich zu aktivieren, ist ein Update im Ingenico ePayments Administrationsbereich notwendig."
"When using %s as payment method the settings for '%s' and '%s' will not be processed.", "Wenn %s als Zahlungsart verwendet wird, finden die Optionen '%s' und '%s' keine Anwendung."
"Enable device fingerprinting", "Aktiviere Gerät-Fingerabdruck"
"When enabling this, you still need to request the explicit consent of the customer in the checkout to transmit this data.", "Wenn aktiviert, muss weiterhin die Zustimmung des Kunden im Checkout erteilt werden, damit diese Daten übertragen werden dürfen."
"This functionality will transmit specific customer data as hash to Ingenico ePayments to identify the device from which the transaction was sent can be identified with the highest probability.", "Diese Funktion sammelt spezifische Kunden-/Gerätedaten, hasht diese und überträgt sie an Ingenico ePayments, um das Gerät von dem die Transaktion gesendet wurde möglichst eindeutig zu identifizieren. "
"Enter new credit card data...", "Neue Kreditkartendaten eingeben..."
"Please enter a valid credit card number.", "Bitte geben Sie eine gültige Kreditkartennummer ein."
"This is a required field.", "Dies ist ein Pflichtfeld."
"Timeout for transactions", "Zeitüberschreitung für Transaktionen"
"This must be identical to the value in the Ingenico ePayments backend in section <em>Technical information</em> on tab <em>Global security parameters</em>.", "Muss identisch mit dem Wert im Ingenico ePayments-Backend unter <em>Technische Informationen</em> auf dem Tab <em>Globale Sicherheitsparameter</em> sein."
"Hash algorithm", "Hash-Algorithmus"
"Order has been canceled permanently in Magento. Changes in Ingenico ePayments platform will no longer be considered.", "Bestellung wurde in Magento dauerhaft storniert. Änderungen auf der Ingenico ePayments Plattform werden nicht mehr berücksichtigt."
"The order has been accepted in Magento only. For the actual status of the payment check the Ingenico ePayments backend.", "Bestellung wurde nur in Magento akzeptiert. Für den tatsächlichen Zahlungsstatus prüfen Sie bitte das Ingenico ePayments Backend."
"Received Ingenico ePayments feedback status %s.", "Ingenico ePayments Feedback Status %s empfangen."
"Customer received your payment instructions, waiting for actual payment.", "Käufer hat Ihren Zahlungshinweis erhalten, warte auf tatsächliche Zahlung."
"Customer redirected for 3DS authorization.", "Käufer zur 3DS-Autorisierung umgeleitet."
"Ingenico ePayments status 0, the action failed.", "Ingenico ePayments Status 0, Vorgang fehlgeschlagen."
"Payment failed because the authorization was declined! Please choose another payment method.", "Zahlung fehlgeschlagen weil Autorisierung abgelehnt wurde! Bitte wählen Sie eine andere Zahlart."
"Received Ingenico ePayments feedback status update with final status %s.", "Ingenico ePayments Feedback mit endgültigem Status %s empfangen ."
"Received Ingenico ePayments feedback status update with suspected fraud status %s. Please have a look in Ingenico ePayments backend for more information.", "Ingenico ePayments Feedback mit Betrugsverdacht-Status %s empfangen. Bitte prüfen Sie das Ingenico ePayments Backend für weitere Informationen."
"Received Ingenico ePayments feedback status update with intermediate status %s.", "Ingenico ePayments Feedback mit Zwischen-Status %s empfangen."
"Received Ingenico ePayments feedback status update with refused status %s.", "Ingenico ePayments Feedback mit abgelehntem Status %s empfangen."
"Payment has been authorized by Ingenico ePayments, but not yet captured.", "Zahlung wurde durch Ingenico ePayments autorisiert, aber noch nicht erfasst."
"%s is not a authorize status!", "%s ist kein Autorisierungs-Status"
"%s is not a capture status!", "%s ist kein Erfasst-Status"
"%s is not a void status!", "%s ist keine Void-Status"
"%s is not a refund status!", "%s ist kein Erstattungs-Status"
"%s is not a special status!", "%s ist kein spezieller Status"
"Status %s can not be voided.", "Status %s kann nicht auf Void gesetzt werden."
"No update available from Ingenico ePayments.", "Kein Update von Ingenico ePayments verfügbar."
"Received Ingenico ePayments status %s. Order cancelled.", "Ingenico ePayments Feedback Status %s empfangen. Bestellung storniert."
"If activated an extra parameter is transmitted to Ingenico ePayments for the Creditcard/Debitcard payment methods.", "Bei Aktivierung wird ein zusätzlicher Parameter für Kreditkarten- / Debitkarten-Zahlarten an Ingenico ePayments übertragen."
"See also <a title='Split credit/debit cards' target='_blank' href='https://payment-services.ingenico.com/int/en/ogone/support/guides/integration%20guides/split-credit-debit-cards'>Ingenico ePayments documentation</a>.", "Siehe auch <a title='Split credit/debit cards' target='_blank' href='https://payment-services.ingenico.com/int/en/ogone/support/guides/integration%20guides/split-credit-debit-cards'>Ingenico ePayments Dokumentation</a>."
"Refund refused by Ingenico ePayments.", "Erstattung seitens Ingenico ePayments abgelehnt."
"Add Method", "Zahlart hinzufügen"
"PM and Brand combination must be unique", "Kombination aus PM und BRAND muss einzigartig sein."
"Can not save empty title or PM fields", "Kann leere Titel- oder PM-Felder nicht speichern."
"A generic option, that lets the customer choose the exact method on Ingenico ePayments side.", "Universelle Option, durch die der Käufer die konkrete Zahlart auf der Ingenico ePayments Seite wählen kann."
"Add one or more methods. In field 'PM' you will have to enter the PM value you got from Ingenico ePayments, same goes for the field 'BRAND'.", "Eine oder mehrere Zahlarten hinzufügen. In das Feld 'PM' muss der PM-Wert eingetragen werden, den Sie von Ingenico ePayments erhalten haben. Gleiches gilt für das Feld 'BRAND'."
"Methods", "Zahlarten"
"Show empty default option", "Leere Standard-Option anzeigen"
"Ingenico ePayments Flex payment method", "Ingenico ePayments Flex-Zahlart"
"Title to display for the default option.", "Titel zur Anzeige der Standard-Option"
"Default option title", "Standard-Option Titel"
"Extension Version", "Extension Version"
"Documentation", "Dokumentation"
"English", "Englisch"
"German", "Deutsch"
"First Aid - FAQ", "Erste Hilfe - FAQ"
"Need support? Contact Ingenico ePayments:", "Support benötigt? Kontaktieren Sie Ingenico ePayments:"
"Download Logfile", "Log-Datei herunterladen"
"Show catalog button", "Zeige Katalog-Button"
"Show home button", "Zeige Home-Button"
"Credit/Debit card Split", "Trennung Kredit-/Debitkarte"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung von bestimmten Ländern"
"All Allowed Countries","Alle erlaubten Länder"
"Specific Countries","Bestimmte Länder"
"Delete Image","Lösche Bild"
"Allowed file types: jpeg, gif, png.","Erlaubte Datei-Typen: jpeg, gif, png"
"Payment Logo","Logo der Zahlart"
"Payment Logo Visibility","Sichtbarkeit des Logos"
"Netresearch_OPS::Left","Links"
"Netresearch_OPS::Right","Rechts"
"Netresearch_OPS::Non Visible","Nicht Sichtbar"
"Disallowed file type.","Nicht erlaubter Datei-Typ."
"Payment Information","Zahlungsinformationen"
"Submit","Abschicken"
"Cancel","Abbrechen"
"Transmit new payment method...","Übertrage neue Zahlungsmethode..."
"Your given data","Ihre angegebenen Daten"
"Order Number","Bestellnummer"
"Billing Address","Rechnungsadresse"
"Shipping Address","Lieferadresse"
"PayPerMail Email Template", "Zahlung per Email Template"
"Aliasusage New","Alias Text Neu"
"Here you can enter the desired text which will be displayed on Ingenico ePayments side.","Hier können Sie den gewünschten Text eingeben, welcher auf der Bezahlseite von Ingenico ePayments angezeigt werden soll."
"Aliasusage existing Alias","Alias Text für existierenden Alias"
"Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments side.","Hier können sie den gewünschten Text für einen bereits existierenden Alias eingeben, welcher auf der Bezahlseite von Ingenico ePayments angezeigt werden soll."
"This value specifies the request timeout for that transaction. A value between 30 and 60 seconds is possible.", "Dieser Wert bestimmt den Timeout für die Transaktion. Der Wert darf zwischen 30 und 60 Sekunden liegen."
"Layout on the external payment page (for redirect payment methods).", "Ausrichtung auf der externen Bezahlseite (für Weiterleitungs-Zahlarten)."
"Send Invoice to Customer", "Rechnung an Kunden schicken"
"Value exceeds %d characters","Wert ist länger als %d Zeichen."
"Your order has been registered, but your payment is still marked as pending. Please have patience until the final status is known.","Ihre Bestellung wurde registriert, aber Ihre Zahlung ist noch nicht vollständig abgeschlossen. Bitte haben Sie Geduld, bis der endgültige Zahlungsstatus bekannt ist."
"You will be redirected to finalize your payment.","Sie werden weitergeleitet um Ihre Zahlung abzuschließen."
"When using Klarna as your aquirer you will need to switch to the option 'Other'.","Wenn Sie Klarna als Akzeptanzpartner verwenden, müssen Sie die Option 'Sonstige' auswählen."
"When the option 'Other' is selected the request data will get converted to ASCII chararcters by using the appropriate transliterations for the given locale of the store.","Wenn die Option 'Sonstige' gewählt ist, werden die Requestdaten in ASCII-Zeichen umgewandelt. Dabei werden die Transliterationen der Lokalisierung des aktuellen Stores verwendet."
"Allows you to display a configurable link to your aquirers invoicing terms and conditions.","Erlaubt die Darstellung eines konfigurierbaren Links zu den Rechnungsbedingungen Ihres Akzeptanzpartners."
"Show invoice terms link","Zeige Link zu Rechnungsbedingungen"
"Invoice terms title","Titel Rechnungsbedingungen"
"Invoice terms URL","URL zu Rechnungsbedingungen"
"Request Data Encoding", "Requestdaten Zeichenkodierung"
"Pay now","Jetzt bezahlen"
"Enter new bank data...","Neue Bankdaten eingeben..."
"Other","Sonstige"
